title,url,year,keywords,authors,abstract,text,url_pdf,num_citations,url_citations,cluster_id,num_versions,url_versions,excerpt
A new similarity measure based on edge counting,http://scholar.google.com/https://pdfs.semanticscholar.org/02a5/6176a48ba9de3a6e43e7e10da531ee4adfb8.pdf,2006,,,,,http://scholar.google.com/https://pdfs.semanticscholar.org/02a5/6176a48ba9de3a6e43e7e10da531ee4adfb8.pdf,63,"http://scholar.google.com/scholar?cites=17316492695987697519&as_sdt=2005&sciodt=0,5&hl=en",17316492695987697519,5,"http://scholar.google.com/scholar?cluster=17316492695987697519&hl=en&as_sdt=0,5","Palmer [1] has the advantage of being simple to implement and have good performances compared to the other similarity measures [2]. Nevertheless, the Wu and Palmer measure present the following disadvantage: in some situations, the similarity of two elements of an IS …"
A WordNet-based semantic similarity measurement combining edge-counting and information content theory,http://scholar.google.com/https://www.sciencedirect.com/science/article/pii/S0952197614002814,2015,,,,,,70,"http://scholar.google.com/scholar?cites=9203904684700800121&as_sdt=2005&sciodt=0,5&hl=en",9203904684700800121,2,"http://scholar.google.com/scholar?cluster=9203904684700800121&hl=en&as_sdt=0,5","Semantic similarity measuring between words can be applied to many applications, such as Artificial Intelligence, Information Processing, Medical Care and Linguistics. In this paper, we present a new approach for semantic similarity measuring which is based on edge-counting  …"
Learning and verifying graphs using queries with a focus on edge counting,http://scholar.google.com/https://link.springer.com/chapter/10.1007/978-3-540-75225-7_24,2007,,,,,,39,"http://scholar.google.com/scholar?cites=8780693494039253091&as_sdt=2005&sciodt=0,5&hl=en",8780693494039253091,13,"http://scholar.google.com/scholar?cluster=8780693494039253091&hl=en&as_sdt=0,5","We consider the problem of learning and verifying hidden graphs and their properties given query access to the graphs. We analyze various queries (edge detection, edge counting, shortest path), but we focus mainly on edge counting queries. We give an algorithm for …"
Detection and tracking of facial features by using edge pixel counting and deformable circular template matching,http://scholar.google.com/https://search.ieice.org/bin/summary.php?id=e78-d_9_1195,1995,,,,,,34,"http://scholar.google.com/scholar?cites=7209571638465748175&as_sdt=2005&sciodt=0,5&hl=en",7209571638465748175,4,"http://scholar.google.com/scholar?cluster=7209571638465748175&hl=en&as_sdt=0,5","In this paper face feature detection and tracking are discussed, using methods called edge pixel counting and deformable circular template matching. Instead of utilizing color or gray scale information of the facial image, the proposed edge pixel counting method utilizes the …"
A new similarity measure for taxonomy based on edge counting,http://scholar.google.com/https://arxiv.org/abs/1211.4709,2012,,,,,,22,"http://scholar.google.com/scholar?cites=1114639821764738177&as_sdt=2005&sciodt=0,5&hl=en",1114639821764738177,4,"http://scholar.google.com/scholar?cluster=1114639821764738177&hl=en&as_sdt=0,5","This paper introduces a new similarity measure based on edge counting in a taxonomy like WorldNet or Ontology. Measurement of similarity between text segments or concepts is very useful for many applications like information retrieval, ontology matching, text mining, and …"
Experimental feasibility of multi-energy photon-counting K-edge imaging in pre-clinical computed tomography,http://scholar.google.com/https://iopscience.iop.org/article/10.1088/0031-9155/53/15/002,2008,,,,,,701,"http://scholar.google.com/scholar?cites=167065703869004417&as_sdt=2005&sciodt=0,5&hl=en",167065703869004417,10,"http://scholar.google.com/scholar?cluster=167065703869004417&hl=en&as_sdt=0,5","Theoretical considerations predicted the feasibility of K-edge x-ray computed tomography (CT) imaging using energy discriminating detectors with more than two energy bins. This technique enables material-specific imaging in CT, which in combination with high-Z …"
K-edge imaging in x-ray computed tomography using multi-bin photon counting detectors,http://scholar.google.com/https://iopscience.iop.org/article/10.1088/0031-9155/52/15/020/pdf,2007,,,,,,486,"http://scholar.google.com/scholar?cites=7568229710689612534&as_sdt=2005&sciodt=0,5&hl=en",7568229710689612534,7,"http://scholar.google.com/scholar?cluster=7568229710689612534&hl=en&as_sdt=0,5","After passage through matter, the energy spectrum of a polychromatic beam of x-rays contains valuable information about the elemental composition of the absorber. Conventional x-ray systems or x-ray computed tomography (CT) systems, equipped with …"
"Edge-counting vectors, Fibonacci cubes, and Fibonacci triangle",http://scholar.google.com/https://www.fmf.uni-lj.si/~klavzar/preprints/projections-final.pdf,2007,,,,,http://scholar.google.com/https://www.fmf.uni-lj.si/~klavzar/preprints/projections-final.pdf,14,"http://scholar.google.com/scholar?cites=16200613429338166669&as_sdt=2005&sciodt=0,5&hl=en",16200613429338166669,6,"http://scholar.google.com/scholar?cluster=16200613429338166669&hl=en&as_sdt=0,5",Edge-counting vectors of subgraphs of Cartesian products are introduced as the counting vectors of the edges that project onto the factors. For several standard constructions their edge-counting vectors are computed. It is proved that the edge-counting vectors of Fibonacci …
Multienergy Photon-counting K-edge Imaging: Potential for Improved Luminal Depiction in Vascular Imaging1,http://scholar.google.com/https://pubs.rsna.org/doi/abs/10.1148/radiol.2492080560,2008,,,,,,193,"http://scholar.google.com/scholar?cites=5535654396538378281&as_sdt=2005&sciodt=0,5&hl=en",5535654396538378281,3,"http://scholar.google.com/scholar?cluster=5535654396538378281&hl=en&as_sdt=0,5","The purpose of this study was to investigate whether spectral computed tomography (CT) has the potential to improve luminal depiction by differentiating among intravascular gadolinium-based contrast agent, calcified plaque, and stent material by using the …"
Measuring semantic similarity based on weighting attributes of edge counting,http://scholar.google.com/https://link.springer.com/chapter/10.1007/978-3-540-30583-5_50,2004,,,,,,14,"http://scholar.google.com/scholar?cites=16259608245888782378&as_sdt=2005&sciodt=0,5&hl=en",16259608245888782378,8,"http://scholar.google.com/scholar?cluster=16259608245888782378&hl=en&as_sdt=0,5","Semantic similarity measurement can be applied in many different fields and has variety of ways to measure it. As a foundation paper for semantic similarity, we explored the edge counting method for measuring semantic similarity by considering the weighting attributes …"
